team_id,team_name,penalties_scored,penalties_attempted,conversion_rate,shootout_wins,tournament_id,match_id
T-03,Argentina,100,124,80.64516129032258,4,3,4
T-04,Australia,1,3,33.33333333333333,0,0,0
T-06,Belgium,5,5,100.0,0,0,0
T-09,Brazil,138,192,71.875,4,6,6
T-10,Bulgaria,3,4,75.0,0,0,0
T-13,Chile,2,5,40.0,0,0,0
T-14,China,8,10,80.0,0,0,0
T-16,Colombia,3,5,60.0,0,1,1
T-17,Costa Rica,8,10,80.0,1,1,1
T-18,Croatia,28,36,77.77777777777779,2,2,2
T-22,Denmark,2,5,40.0,0,0,0
T-28,England,28,48,58.333333333333336,0,2,2
T-30,France,25,34,73.52941176470588,0,0,0
T-31,Germany,18,18,100.0,2,2,2
T-32,Ghana,2,4,50.0,0,0,0
T-33,Greece,3,4,75.0,0,0,0
T-41,Italy,26,40,65.0,1,2,2
T-44,Japan,14,24,58.333333333333336,1,2,2
T-46,Mexico,2,7,28.57142857142857,0,1,1
T-47,Morocco,3,4,75.0,1,1,1
T-48,Netherlands,33,51,64.70588235294117,1,2,3
T-53,Norway,8,10,80.0,1,1,1
T-55,Paraguay,5,5,100.0,1,1,1
T-58,Portugal,3,5,60.0,0,0,0
T-60,Republic of Ireland,7,10,70.0,1,1,1
T-61,Romania,8,11,72.72727272727273,0,1,1
T-62,Russia,7,9,77.77777777777779,0,1,1
T-71,South Korea,5,5,100.0,0,0,0
T-73,Spain,52,88,59.09090909090909,1,3,4
T-74,Sweden,8,11,72.72727272727273,0,1,1
T-75,Switzerland,0,3,0.0,0,1,1
T-81,Ukraine,3,4,75.0,0,0,0
T-83,United States,11,14,78.57142857142857,1,1,1
T-84,Uruguay,4,5,80.0,1,1,1
T-86,West Germany,39,42,92.85714285714285,3,3,3
T-87,Yugoslavia,2,5,40.0,0,0,0
