key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,total_goals
1144,WC-2019,2019 FIFA Women's World Cup,M-2019-12,United States vs Thailand,group stage,Group F,1,0,0,0,2019-06-11,21:00,S-070,Stade Auguste-Delaune,Reims,France,T-83,United States,USA,T-76,Thailand,THA,13–0,13,0,13,-13,0,0,0-0,0,0,home team win,1,0,0,13
94,WC-1954,1954 FIFA Men's World Cup,M-1954-19,Austria vs Switzerland,quarter-finals,not applicable,0,1,0,0,1954-06-26,17:00,S-214,Stade Olympique de la Pontaise,Lausanne,Switzerland,T-05,Austria,AUT,T-75,Switzerland,CHE,7–5,7,5,2,-2,0,0,0-0,0,0,home team win,1,0,0,12
313,WC-1982,1982 FIFA Men's World Cup,M-1982-05,Hungary vs El Salvador,group stage,Group 3,1,0,0,0,1982-06-15,21:00,S-185,Nuevo Estadio,Elche,Spain,T-36,Hungary,HUN,T-27,El Salvador,SLV,10–1,10,1,9,-9,0,0,0-0,0,0,home team win,1,0,0,11
41,WC-1938,1938 FIFA Men's World Cup,M-1938-06,Brazil vs Poland,round of 16,not applicable,0,1,0,0,1938-06-05,17:30,S-075,Stade de la Meinau,Strasbourg,France,T-09,Brazil,BRA,T-57,Poland,POL,6–5,6,5,1,-1,1,0,0-0,0,0,home team win,1,0,0,11
88,WC-1954,1954 FIFA Men's World Cup,M-1954-13,Hungary vs West Germany,group stage,Group 2,1,0,0,0,1954-06-20,16:50,S-211,St. Jakob Stadium,Basel,Switzerland,T-36,Hungary,HUN,T-86,West Germany,DEU,8–3,8,3,5,-5,0,0,0-0,0,0,home team win,1,0,0,11
825,WC-2007,2007 FIFA Women's World Cup,M-2007-01,Germany vs Argentina,group stage,Group A,1,0,0,0,2007-09-10,20:00,S-043,Hongkou Football Stadium,Shanghai,China,T-31,Germany,DEU,T-03,Argentina,ARG,11–0,11,0,11,-11,0,0,0-0,0,0,home team win,1,0,0,11
1033,WC-2015,2015 FIFA Women's World Cup,M-2015-17,Switzerland vs Ecuador,group stage,Group C,1,0,0,0,2015-06-12,16:00,S-028,BC Place,Vancouver,Canada,T-75,Switzerland,CHE,T-25,Ecuador,ECU,10–1,10,1,9,-9,0,0,0-0,0,0,home team win,1,0,0,11
1020,WC-2015,2015 FIFA Women's World Cup,M-2015-04,Germany vs Ivory Coast,group stage,Group B,1,0,0,0,2015-06-07,16:00,S-027,TD Place Stadium,Ottawa,Canada,T-31,Germany,DEU,T-42,Ivory Coast,CIV,10–0,10,0,10,-10,0,0,0-0,0,0,home team win,1,0,0,10
105,WC-1958,1958 FIFA Men's World Cup,M-1958-04,France vs Paraguay,group stage,Group 2,1,0,0,0,1958-06-08,19:00,S-205,Idrottsparken,Norrköping,Sweden,T-30,France,FRA,T-55,Paraguay,PRY,7–3,7,3,4,-4,0,0,0-0,0,0,home team win,1,0,0,10
11,WC-1930,1930 FIFA Men's World Cup,M-1930-11,Argentina vs Mexico,group stage,Group 1,1,0,0,0,1930-07-19,15:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-46,Mexico,MEX,6–3,6,3,3,-3,0,0,0-0,0,0,home team win,1,0,0,9
